idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
4194;4194;60 Rue de Legalite;Saint-Priest;;;V101.0.CS;Col Est;COL VEOLIA;2019-01-14;2019-01-17;2019-01-17;;69290;1677;4,945341612155099;45,688457993960306
2237;2237;Rue Paul Mistral square des couleurs;Saint-Priest;;;V101.0.CS;Col Est;COL VEOLIA;2018-01-22;2015-02-19;2021-02-26;;69290;1674;4,9364587151225825;45,693315649867465
6939;6939;Place Nicolas Boileau;Rillieux-la-Pape;;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2018-01-22;2017-07-10;2021-01-14;2021-01-14;69286;1700;4,88785802708695;45,81223671644448
4744;4744;12 Rue Mortier;Lyon 3e Arrondissement;;;Z101.0.CS;Col Est;GPE;2022-07-04;2022-09-05;2022-09-05;;69383;1714;4,842062331245616;45,75623671655033
4250;4250;2 Rue Robespierre;Saint-Priest;;;V101.0.CS;Col Est;COL VEOLIA;2019-12-09;2020-01-06;2020-01-06;;69290;1718;4,94602922627951;45,704892877253876
2387;2387;Entree Rue Bouvier station velov 48/50;Villeurbanne;;;Z101.0.CS;Col Est;GPE;2017-05-22;2017-02-01;2018-04-24;;69266;1729;4,8915105916065995;45,77946933369326
4052;4052;3 Rue Auguste Lacroix;Lyon 3e Arrondissement;27766;;Z101.0.CS;Col Est;GPE;2022-09-14;2022-09-21;2022-12-06;;69383;1746;4,844901680903209;45,75561215484997
7233;7233;24 Chemin des Mouilles;Écully;06723;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2018-01-22;2016-04-28;2021-08-11;2021-08-11;69081;1760;4,771080771179204;45,78237368775242
1042;1042;7 Rue Jacques Prévert;Rillieux-la-Pape;25227;;V101.0.CS;Col Nord-Ouest;COL GUERIN;2021-09-23;2021-10-01;2021-10-01;2021-10-01;69286;1765;4,9002829555055305;45,81678768033171
4418;4418;Avenue du 8 Mai 1945;Vaulx-en-Velin;19729;;Z101.0.CS;Col Est;GPE;2018-01-22;2017-07-31;2018-04-26;2017-11-22;69256;1779;4,914248060181531;45,78793527875235
2356;2356;2 Rue Laurent Bonnevay ;Saint-Priest;;parking;V101.0.CS;Col Est;COL VEOLIA;2018-01-22;2016-06-07;2018-04-24;;69290;1814;4,947398063070621;45,69415895175999
2333;2333;22 Rue Henri Barbusse;Saint-Priest;26242;;V101.0.CS;Col Est;COL VEOLIA;2018-01-22;2016-05-12;2023-02-21;2022-05-04;69290;1785;4,951730659453121;45,68899603941994
E308;E308;5 Rue Pierre Dupont;Vénissieux;20508;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;1816;4,86983607694323;45,69535053071612
7094;7094;62 Rue Maryse Bastié;Lyon 8e Arrondissement;28881;;Z101.0.CS;Col Sud;COL GUERIN;2019-09-05;2019-09-06;2022-04-19;2022-04-19;69388;1818;4,873906480501689;45,73631624350424
E683;E683;118-127 Rue Léon Blum;Villeurbanne;;interieur batiment;Z101.0.CS;Col Est;GPE;2019-07-01;2019-09-09;2019-09-09;;69266;4618;4,902060653687022;45,760159475536035
E789;E789;Rue Marcel Mérieux;Rillieux-la-Pape;37216;;V101.0.CS;Col Nord-Ouest;COL GUERIN;2023-04-14;2023-04-25;2023-04-25;;69286;1837;4,906938044962415;45,815290985584596
E457;E457;700 Route de Lyon;Vernaison;20596;;V101.0.CS;Col Sud;COL VEOLIA;2019-05-02;2019-05-27;2021-06-23;2021-06-23;69260;1842;4,814184359880519;45,65237985617704
E460;E460;11 Rue du Peronnet;Vernaison;20611;;V101.0.CS;Col Sud;COL VEOLIA;2019-05-02;2019-05-27;2021-06-23;2021-06-23;69260;1852;4,813880609515884;45,65199179650146
