idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
B0978;B0978;5 Quai des Celestins;Lyon 2e Arrondissement;;BCO-15;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4717;4,8312915997267325;45,76071989994169
B1026;B1026;3 Rue Casimir Périer;Lyon 2e Arrondissement;;PC-63;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4718;4,817749999664206;45,744143499829654
B0975;B0975;Face au 19 Rue Childebert;Lyon 2e Arrondissement;;BCO-12;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4719;4,8363591998312145;45,76027630013085
B0969;B0969;Face au 2 Place des cordelier;Lyon 2e Arrondissement;;BCO-6;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4720;4,837132454331451;45,76351165747901
B0971;B0971;32 Quai saint antoine;Lyon 2e Arrondissement;;BCO-8;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4721;4,8318853375018405;45,76232147210141
B1025;B1025;7 Rue Casimir Périer;Lyon 2e Arrondissement;;PC-62;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4722;4,81907630027165;45,74359849959173
B1013;B1013;20 Rue Smith;Lyon 2e Arrondissement;;PC-50;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4723;4,825174199975599;45,746107900157845
B1004;B1004;10 Quai Rambaud;Lyon 2e Arrondissement;;PC-41;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4724;4,820289299927455;45,74864850015293
B1011;B1011;32 Cours Suchet;Lyon 2e Arrondissement;;PC-48;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4725;4,823896400254615;45,74674699978523
B0972;B0972;37 Rue de Brest;Lyon 2e Arrondissement;;BCO-9;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4726;4,8334622000021765;45,76151230014258
B1066;B1066;86 Rue Louis Blanc ;Lyon 6e Arrondissement;;B22;Z101.0.ALIM;Col Est;GPE;2023-09-27;2023-10-17;;;69386;4734;4,8550900719098316;45,76536279242782
B1359;B1359;Rue Emile Bender, Parking;Bron;;P2;Z101.0.ALIM;Col Est;GPE;2024-01-23;2024-01-31;;;69029;5072;4,903635146176536;45,73432637272096
B1090;B1090;Face au134 Rue Duguesclin;Lyon 6e Arrondissement;;SR17;Z101.0.ALIM;Col Est;GPE;2023-10-02;2023-10-17;;;69386;4740;4,847822999476269;45,766445999601046
B1094;B1094;Face au 81 Rue Vuaban;Lyon 6e Arrondissement;;SR21;Z101.0.ALIM;Col Est;GPE;2023-10-02;2023-10-17;;;69386;4752;4,850191374845533;45,765480038682156
B1095;B1095;Face au148 Rue Duguesclin;Lyon 6e Arrondissement;;SR22;Z101.0.ALIM;Col Est;GPE;2023-10-02;2023-10-17;;;69386;4766;4,84799599970779;45,76540999962337
B1039;B1039;Face au 12 Rue Germain ;Lyon 6e Arrondissement;;BV10;Z101.0.ALIM;Col Est;GPE;2023-09-25;2023-10-17;;;69386;4815;4,863455006875222;45,76520537035682
B1350;B1350;34 Avenue Franklin Roosevelt;Bron;;EC3;Z101.0.ALIM;Col Est;GPE;2024-01-23;2024-01-31;;;69029;5073;4,896459653593646;45,73753997321076
B1054;B1054;Face au 50 Rue Juliette Racamier;Lyon 6e Arrondissement;;B10;Z101.0.ALIM;Col Est;GPE;2023-09-27;2023-10-17;;;69386;4819;4,858190484187722;45,76779108826983
B1122;B1122;Face au 28 Rue Garibaldi ;Lyon 6e Arrondissement;;PAD20;Z101.0.ALIM;Col Est;GPE;2023-10-09;2023-10-17;;;69386;4824;4,849979000294127;45,77194399981858
B1092;B1092;Face au 34 Avenue Marechal de saxe;Lyon 6e Arrondissement;;SR19;Z101.0.ALIM;Col Est;GPE;2023-10-04;2023-10-17;;;69386;4827;4,844460317802902;45,76561439484817
B1125;B1125;Face au 10 Boulevard Anatole France;Lyon 6e Arrondissement;;PAD23;Z101.0.ALIM;Col Est;GPE;2023-10-09;2023-10-17;;;69386;4828;4,856707504168126;45,77251141465311
B1338;B1338;5 Rue Docteur Mouisset;Lyon 6e Arrondissement;28429;PaD16;Z101.0.ALIM;Col Est;GPE;2024-01-15;2024-01-16;2024-01-16;;69386;5074;4,841631362991154;45,77131286632609
B1353;B1353;12 Rue Neuve des Essarts;Bron;;EC9;Z101.0.ALIM;Col Est;GPE;2024-01-23;2024-01-31;;;69029;5075;4,898646275131063;45,73215699928201
B1361;B1361;Face au 9 Rue Jean Jaurès;Bron;;P4;Z101.0.ALIM;Col Est;GPE;2024-01-23;2024-01-31;;;69029;5076;4,901596031867876;45,73229404338807
B1324;B1324;15 Rue d'Austerlitz;Lyon 4e Arrondissement;28060;CRER24-B0929;X101.0.ALIM;Col Nord-Ouest;SITA;2024-12-21;2024-01-10;2024-01-10;;69384;5077;4,834988727909326;45,775614945554494
